tipo,bairro,cidade,objetivo,area_util,quartos,suites,vagas,preco
apartamento,vila_monumento,são paulo,Venda,10.0,1,0,0,133000.0
apartamento,liberdade,são paulo,Venda,32.0,1,0,0,160000.0
apartamento,vila_monumento,são paulo,Venda,12.0,1,0,0,162000.0
apartamento,se,são paulo,Venda,29.0,1,0,0,170000.0
apartamento,vila_monumento,são paulo,Venda,14.0,1,0,0,185000.0
apartamento,se,são paulo,Venda,24.0,1,0,0,189000.0
apartamento,vila_das_merces,são paulo,Venda,25.0,1,0,0,195000.0
apartamento,santa_efigenia,são paulo,Venda,47.0,1,0,0,196000.0
apartamento,vila_das_merces,são paulo,Venda,26.0,1,0,0,199000.0
apartamento,vila_monumento,são paulo,Venda,15.0,1,0,0,199900.0
apartamento,jabaquara,são paulo,Venda,35.0,1,0,1,200000.0
apartamento,mirandopolis,são paulo,Venda,16.0,1,0,0,200000.0
apartamento,vila_das_merces,são paulo,Venda,26.0,1,0,0,205000.0
apartamento,jardim_sao_saverio,são paulo,Venda,37.0,2,0,0,205000.0
apartamento,vila_das_merces,são paulo,Venda,26.0,1,0,0,205000.0
apartamento,vila_monumento,são paulo,Venda,15.0,1,0,0,206000.0
apartamento,vila_monumento,são paulo,Venda,15.0,1,0,0,207000.0
apartamento,jardim_celeste,são paulo,Venda,52.0,2,0,1,208000.0
apartamento,campos_eliseos,são paulo,Venda,35.0,1,0,0,210000.0
apartamento,vila_das_merces,são paulo,Venda,28.0,1,0,0,214900.0
apartamento,vila_das_merces,são paulo,Venda,28.0,1,0,0,214900.0
apartamento,liberdade,são paulo,Venda,42.0,1,0,0,215000.0
apartamento,saude,são paulo,Venda,50.0,2,0,0,218000.0
apartamento,jardim_vergueiro_sacoma,são paulo,Venda,50.0,2,0,1,220000.0
apartamento,sacoma,são paulo,Venda,35.0,1,0,1,220000.0
apartamento,parque_bristol,são paulo,Venda,47.0,2,0,1,220000.0
apartamento,sacoma,são paulo,Venda,50.0,2,0,0,221000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,223000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,224000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,224000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,225000.0
apartamento,mooca,são paulo,Venda,35.0,1,0,0,225000.0
apartamento,sao_joao_climaco,são paulo,Venda,50.0,2,0,1,225000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,228000.0
apartamento,jardim_celeste,são paulo,Venda,53.0,2,0,1,230000.0
apartamento,vila_santa_catarina,são paulo,Venda,36.0,2,0,0,230000.0
apartamento,jardim_celeste,são paulo,Venda,55.0,2,0,1,230000.0
apartamento,jardim_sao_saverio,são paulo,Venda,41.0,2,0,0,230000.0
apartamento,vila_do_encontro,são paulo,Venda,35.0,1,0,1,230000.0
apartamento,jardim_celeste,são paulo,Venda,50.0,2,0,1,230000.0
apartamento,vila_monumento,são paulo,Venda,17.0,1,0,0,231000.0
apartamento,cambuci,são paulo,Venda,37.0,1,0,0,231000.0
apartamento,vila_monumento,são paulo,Venda,18.0,1,0,0,234000.0
apartamento,jardim_celeste,são paulo,Venda,54.0,2,0,1,235000.0
apartamento,cambuci,são paulo,Venda,33.0,1,0,0,235000.0
apartamento,vila_monumento,são paulo,Venda,18.0,1,0,0,236000.0
apartamento,vila_santa_catarina,são paulo,Venda,36.0,2,0,0,238000.0
apartamento,vila_monumento,são paulo,Venda,18.0,1,0,0,239000.0
apartamento,jardim_da_saude,são paulo,Venda,51.0,2,0,1,240000.0
apartamento,vila_monumento,são paulo,Venda,18.0,1,0,0,240000.0
apartamento,jardim_luso,são paulo,Venda,38.0,2,0,0,240000.0
apartamento,jardim_celeste,são paulo,Venda,52.0,2,0,1,240000.0
apartamento,vila_monumento,são paulo,Venda,18.0,1,0,0,241000.0
apartamento,mooca,são paulo,Venda,24.0,1,0,0,244000.0
apartamento,vila_moraes,são paulo,Venda,69.0,3,0,1,245000.0
apartamento,jardim_sao_saverio,são paulo,Venda,67.0,2,0,1,245000.0
