tipo,bairro,cidade,objetivo,area_util,quartos,suites,vagas,preco
casa,americanopolis,sao_paulo,locacao,40.0,1,0,0,800.0
casa,vila_gumercindo,sao_paulo,locacao,25.0,1,0,0,850.0
casa,vila_gumercindo,sao_paulo,locacao,25.0,1,0,0,850.0
casa,vila_fachini,sao_paulo,locacao,50.0,1,0,0,850.0
apartamento,jardim_miriam_zona_sul,sao_paulo,locacao,30.0,1,0,0,850.0
casa,vila_fachini,sao_paulo,locacao,35.0,1,0,0,850.0
casa,americanopolis,sao_paulo,locacao,20.0,1,0,0,880.0
casa,bosque_da_saude,sao_paulo,locacao,25.0,1,0,0,900.0
casa,vila_guarani_zona_sul,sao_paulo,locacao,25.0,1,0,0,900.0
casa,jardim_miriam_zona_sul,sao_paulo,locacao,40.0,1,0,0,950.0
casa,vila_clara,sao_paulo,locacao,25.0,1,0,0,950.0
casa,vila_clara,sao_paulo,locacao,30.0,1,0,1,950.0
casa,vila_das_merces,sao_paulo,locacao,25.0,1,0,0,1000.0
casa,vila_das_merces,sao_paulo,locacao,25.0,1,0,0,1000.0
casa,jardim_miriam_zona_sul,sao_paulo,locacao,50.0,1,0,0,1000.0
casa,vila_fachini,sao_paulo,locacao,35.0,1,0,0,1000.0
casa,vila_gumercindo,sao_paulo,locacao,35.0,1,0,0,1000.0
casa,vila_do_encontro,sao_paulo,locacao,35.0,1,0,0,1050.0
apartamento,jardim_miriam_zona_sul,sao_paulo,locacao,40.0,1,0,0,1100.0
apartamento,jardim_miriam_zona_sul,sao_paulo,locacao,50.0,1,0,0,1100.0
casa,vila_fachini,sao_paulo,locacao,35.0,1,0,0,1100.0
casa,planalto_paulista,sao_paulo,locacao,38.0,1,0,0,1150.0
casa,bosque_da_saude,sao_paulo,locacao,35.0,1,0,0,1150.0
apartamento,sacoma,sao_paulo,locacao,30.0,1,0,0,1200.0
casa,jabaquara,sao_paulo,locacao,22.0,1,0,0,1200.0
casa,vila_brasilina,sao_paulo,locacao,35.0,1,0,0,1200.0
casa,vila_mariana,sao_paulo,locacao,30.0,1,0,0,1200.0
apartamento,sacoma,sao_paulo,locacao,30.0,1,0,0,1200.0
casa,vila_guarani_zona_sul,sao_paulo,locacao,40.0,1,0,0,1200.0
apartamento,vila_talarico,sao_paulo,locacao,70.0,2,0,0,1200.0
casa,vila_guarani_zona_sul,sao_paulo,locacao,24.0,1,0,0,1200.0
casa,saude,sao_paulo,locacao,50.0,1,0,0,1200.0
casa,vila_santo_estefano,sao_paulo,locacao,50.0,1,0,1,1200.0
apartamento,sacoma,sao_paulo,locacao,30.0,1,0,0,1208.0
casa,jardim_previdencia,sao_paulo,locacao,60.0,2,1,0,1290.0
casa,saude,sao_paulo,locacao,80.0,2,0,0,1290.0
casa,campo_belo,sao_paulo,locacao,15.0,1,0,0,1300.0
apartamento,vila_monumento,sao_paulo,locacao,18.0,1,0,0,1300.0
casa,vila_campestre,sao_paulo,locacao,44.0,1,0,0,1300.0
apartamento,vila_monumento,sao_paulo,locacao,15.0,1,0,0,1300.0
casa,saude,sao_paulo,locacao,35.0,1,0,0,1300.0
apartamento,americanopolis,sao_paulo,locacao,40.0,1,0,1,1300.0
casa,vila_campestre,sao_paulo,locacao,44.0,1,0,0,1300.0
casa,vila_gumercindo,sao_paulo,locacao,35.0,1,0,0,1350.0
casa,vila_santa_catarina,sao_paulo,locacao,40.0,1,0,0,1350.0
apartamento,vila_monumento,sao_paulo,locacao,15.0,1,0,0,1350.0
casa,bosque_da_saude,sao_paulo,locacao,35.0,1,0,0,1350.0
apartamento,vila_monumento,sao_paulo,locacao,18.0,1,0,0,1350.0
apartamento,vila_monumento,sao_paulo,locacao,17.0,1,0,0,1350.0
casa,vila_parque_jabaquara,sao_paulo,locacao,45.0,1,0,0,1350.0
casa,vila_santa_catarina,sao_paulo,locacao,40.0,1,0,0,1350.0
casa,ipiranga,sao_paulo,locacao,40.0,1,0,0,1350.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
apartamento,vila_do_encontro,sao_paulo,locacao,44.0,1,0,1,1390.0
casa,vila_caraguata,sao_paulo,locacao,40.0,1,0,0,1390.0
casa,vila_do_encontro,sao_paulo,locacao,35.0,1,0,0,1400.0
casa,vila_do_encontro,sao_paulo,locacao,35.0,1,0,0,1400.0
casa,vila_agua_funda,sao_paulo,locacao,35.0,1,0,1,1400.0
